LEVEL,60,40
M,N,V,V,V,V,V,V,N,N,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,N,V,N,V,V,N,V,V,N,E,N,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,N,N,N,M,
M,D,B,V,E,V,V,B,D,N,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,N,B,D,B,B,D,B,B,D,B,N,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,V,V,V,V,M,
M,N,N,N,N,N,N,V,N,N,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,N,E,N,V,V,N,V,V,N,V,N,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,N,V,V,B,D,M,
M,D,B,V,V,V,V,B,D,N,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,N,B,D,B,B,B,B,B,D,B,N,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,N,V,V,V,N,M,
M,N,V,V,V,E,V,V,N,N,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,N,N,N,N,N,B,N,N,N,N,N,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,N,V,E,B,D,M,
M,D,B,V,V,V,V,B,D,N,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,N,V,V,V,N,M,
M,N,V,N,N,N,N,N,N,N,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,N,V,V,B,D,M,
M,D,B,V,V,V,V,V,V,N,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,N,V,V,V,N,M,
M,N,V,V,E,V,V,V,V,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,N,V,V,B,D,M,
M,D,B,V,V,V,V,V,D,N,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,N,V,V,V,N,M,
M,N,V,N,N,N,N,N,N,N,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,N,V,V,B,D,M,
M,D,B,V,V,V,V,B,D,N,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,N,E,V,V,N,M,
M,N,V,V,E,V,V,V,N,N,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,N,N,N,N,N,N,N,B,B,B,B,N,V,V,B,D,M,
M,D,B,V,V,V,V,B,D,N,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,V,V,V,V,V,B,D,N,B,B,B,B,N,V,V,V,N,M,
M,N,N,N,N,N,N,V,N,N,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,N,V,V,V,V,V,V,N,N,B,B,B,B,N,V,V,B,D,M,
M,D,B,E,V,V,V,B,D,N,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,N,D,B,V,V,V,B,D,N,B,B,B,B,N,D,N,D,N,M,
M,N,V,V,V,V,V,V,N,N,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,N,N,V,E,V,V,E,N,N,B,B,B,B,N,N,N,N,N,M,
M,D,B,V,B,V,B,V,B,N,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,N,V,V,V,V,V,V,V,N,B,B,B,B,B,B,B,B,B,M,
M,N,D,N,D,N,D,N,D,N,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,N,D,N,D,N,D,N,D,N,B,B,B,B,B,B,B,B,B,M,
M,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,N,B,M,
M,B,B,B,N,V,V,V,N,V,V,V,V,V,N,V,V,V,V,V,V,V,V,V,V,V,N,V,V,V,V,V,V,V,V,V,V,V,N,V,V,V,V,V,V,V,D,V,V,V,E,V,N,V,V,V,V,V,V,M,
M,B,B,B,B,E,V,V,V,V,V,E,V,V,N,V,V,E,V,V,N,V,V,E,V,V,N,V,V,E,V,V,N,V,V,E,V,V,N,V,V,V,E,V,V,V,N,V,V,V,V,V,N,V,V,V,V,V,V,M,
M,P,B,B,N,V,V,V,N,V,V,V,V,V,D,V,V,V,V,V,N,V,V,V,V,V,D,V,V,V,V,V,N,V,V,V,V,V,D,V,V,V,V,V,V,V,N,V,V,V,V,V,D,V,V,V,V,V,V,M,
M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
DIAMOND,60
TIME,300
